rec,date
68.63,1950-01-01
68.63,1950-02-01
68.63,1950-03-01
68.63,1950-04-01
68.63,1950-05-01
68.63,1950-06-01
59.16,1950-07-01
48.7,1950-08-01
47.54,1950-09-01
50.91,1950-10-01
44.7,1950-11-01
42.85,1950-12-01
39.62,1951-01-01
44.45,1951-02-01
38.98,1951-03-01
42.62,1951-04-01
48.27,1951-05-01
59.39,1951-06-01
51.66,1951-07-01
38.55,1951-08-01
60.33,1951-09-01
72.27,1951-10-01
68.62,1951-11-01
69.63,1951-12-01
72.2,1952-01-01
67.87,1952-02-01
64.91001,1952-03-01
53.85,1952-04-01
37.96,1952-05-01
23.23,1952-06-01
12.68,1952-07-01
9.84,1952-08-01
7.82,1952-09-01
11.78,1952-10-01
10.22,1952-11-01
12.19,1952-12-01
18.6,1953-01-01
26.97,1953-02-01
22.52,1953-03-01
19.18,1953-04-01
17.14,1953-05-01
18.61,1953-06-01
20.02,1953-07-01
22.65,1953-08-01
38.99,1953-09-01
76.55,1953-10-01
87.99,1953-11-01
99.8,1953-12-01
96.69,1954-01-01
87.45,1954-02-01
88.57,1954-03-01
97.43,1954-04-01
99.99,1954-05-01
94.88,1954-06-01
86.99,1954-07-01
79.73001,1954-08-01
92.35,1954-09-01
91.29,1954-10-01
94.31,1954-11-01
84.95,1954-12-01
82.97,1955-01-01
92.98001,1955-02-01
81.06,1955-03-01
62.37,1955-04-01
52.99,1955-05-01
39.53,1955-06-01
42.9,1955-07-01
33.76,1955-08-01
40.97,1955-09-01
60.5,1955-10-01
66.61,1955-11-01
80.38,1955-12-01
95.86,1956-01-01
97.74,1956-02-01
80.24,1956-03-01
73.44,1956-04-01
65.67,1956-05-01
47.81,1956-06-01
33.51,1956-07-01
34.22,1956-08-01
32.95,1956-09-01
32.55,1956-10-01
46.92,1956-11-01
44.64,1956-12-01
53.02,1957-01-01
41.98,1957-02-01
30.43,1957-03-01
24.43,1957-04-01
18.05,1957-05-01
20.98,1957-06-01
12.37,1957-07-01
12.03,1957-08-01
12.41,1957-09-01
15.89,1957-10-01
20.46,1957-11-01
26.95,1957-12-01
30.29,1958-01-01
26.21,1958-02-01
23.34,1958-03-01
25.55,1958-04-01
25.4,1958-05-01
24.16,1958-06-01
23.34,1958-07-01
24.38,1958-08-01
27.2,1958-09-01
29.18,1958-10-01
43.3,1958-11-01
53.92,1958-12-01
59.76,1959-01-01
64.52,1959-02-01
65.84,1959-03-01
70.19,1959-04-01
75.27,1959-05-01
77.63,1959-06-01
76.96,1959-07-01
77.7,1959-08-01
85.13,1959-09-01
99.33999,1959-10-01
97.7,1959-11-01
97.01999,1959-12-01
98.83,1960-01-01
99.8,1960-02-01
96.74,1960-03-01
93.54,1960-04-01
82.08,1960-05-01
71.51,1960-06-01
49.61,1960-07-01
41.76,1960-08-01
59.78,1960-09-01
90.97,1960-10-01
85.26,1960-11-01
100,1960-12-01
98.5,1961-01-01
98.7,1961-02-01
93.1,1961-03-01
79.37,1961-04-01
81.97,1961-05-01
55.94,1961-06-01
50.39,1961-07-01
48.64,1961-08-01
40.12,1961-09-01
63.04,1961-10-01
60.51,1961-11-01
78.72,1961-12-01
71.37,1962-01-01
76.43,1962-02-01
71.25,1962-03-01
56.46,1962-04-01
41.84,1962-05-01
41.24,1962-06-01
35.28,1962-07-01
39.86,1962-08-01
45.13,1962-09-01
53.8,1962-10-01
77.54,1962-11-01
80.02,1962-12-01
81.28,1963-01-01
73.58,1963-02-01
66.06,1963-03-01
59.46,1963-04-01
59.49,1963-05-01
51.9,1963-06-01
35.21,1963-07-01
39.65,1963-08-01
31.9,1963-09-01
61.56,1963-10-01
88.25,1963-11-01
96.46,1963-12-01
83.94,1964-01-01
89.05,1964-02-01
92.97,1964-03-01
98.29,1964-04-01
99.79,1964-05-01
94.01,1964-06-01
87.06,1964-07-01
80.46,1964-08-01
74.86,1964-09-01
67.18,1964-10-01
73.85,1964-11-01
80.15,1964-12-01
69.45,1965-01-01
50.39,1965-02-01
31.68,1965-03-01
31.25,1965-04-01
23.11,1965-05-01
11.32,1965-06-01
8.96,1965-07-01
6.03,1965-08-01
11.7,1965-09-01
34.63,1965-10-01
58.31,1965-11-01
58.66,1965-12-01
72.62,1966-01-01
85.76,1966-02-01
94.29,1966-03-01
92.76999,1966-04-01
93.18,1966-05-01
89.32,1966-06-01
81.63,1966-07-01
71.44,1966-08-01
66.42,1966-09-01
80.02,1966-10-01
76.52,1966-11-01
77.51,1966-12-01
67.73001,1967-01-01
50.52,1967-02-01
48.97,1967-03-01
50.64,1967-04-01
38.73,1967-05-01
30.79,1967-06-01
23.75,1967-07-01
26.28,1967-08-01
36.67,1967-09-01
68.91001,1967-10-01
97.39,1967-11-01
96.1,1967-12-01
90.3,1968-01-01
84.92,1968-02-01
91.41001,1968-03-01
92.54,1968-04-01
98.04,1968-05-01
99.96,1968-06-01
88.83,1968-07-01
83.07,1968-08-01
86.32,1968-09-01
99.83,1968-10-01
96.62,1968-11-01
99.94,1968-12-01
96.89,1969-01-01
85.12,1969-02-01
77.97,1969-03-01
67.38,1969-04-01
44.5,1969-05-01
26.72,1969-06-01
13.25,1969-07-01
10.64,1969-08-01
23.83,1969-09-01
29.18,1969-10-01
26.91,1969-11-01
20.09,1969-12-01
22.33,1970-01-01
22.07,1970-02-01
26.2,1970-03-01
29.81,1970-04-01
30.1,1970-05-01
24.25,1970-06-01
25.3,1970-07-01
23.5,1970-08-01
35.62,1970-09-01
52.11,1970-10-01
56.79,1970-11-01
69.09,1970-12-01
86.64,1971-01-01
99.28,1971-02-01
98.48001,1971-03-01
98.45,1971-04-01
94.76999,1971-05-01
93.58,1971-06-01
78.07,1971-07-01
66.88,1971-08-01
77.04,1971-09-01
88.72,1971-10-01
94.88,1971-11-01
99.67,1971-12-01
100,1972-01-01
99.9,1972-02-01
96.91001,1972-03-01
66.88,1972-04-01
52.39,1972-05-01
40.61,1972-06-01
30.65,1972-07-01
32.04,1972-08-01
45.28,1972-09-01
35,1972-10-01
35.62,1972-11-01
36.98,1972-12-01
39.89,1973-01-01
36.88,1973-02-01
30.85,1973-03-01
19.33,1973-04-01
13.26,1973-05-01
11.12,1973-06-01
9.140001,1973-07-01
8.21,1973-08-01
10.76,1973-09-01
10.43,1973-10-01
13.75,1973-11-01
37.91,1973-12-01
41.85,1974-01-01
44.67,1974-02-01
50.57,1974-03-01
50.34,1974-04-01
49.54,1974-05-01
56.93,1974-06-01
60.16,1974-07-01
57.47,1974-08-01
71.68,1974-09-01
97.28,1974-10-01
62.09,1974-11-01
59.97,1974-12-01
51.18,1975-01-01
51.48,1975-02-01
66.08,1975-03-01
86.39,1975-04-01
93.58,1975-05-01
99.9,1975-06-01
93.86,1975-07-01
82.82,1975-08-01
84.83999,1975-09-01
89.51,1975-10-01
86.89,1975-11-01
87.15,1975-12-01
78.47,1976-01-01
55.93,1976-02-01
41.27,1976-03-01
19.66,1976-04-01
9.439999,1976-05-01
4.66,1976-06-01
2.36,1976-07-01
1.72,1976-08-01
3.32,1976-09-01
12.13,1976-10-01
16.81,1976-11-01
24.3,1976-12-01
52.42,1977-01-01
58.05,1977-02-01
59.42,1977-03-01
57.52,1977-04-01
60.13,1977-05-01
64.68,1977-06-01
74.94,1977-07-01
69.73001,1977-08-01
77.11,1977-09-01
97.93,1977-10-01
98.74,1977-11-01
98.88,1977-12-01
90.41001,1978-01-01
77.86,1978-02-01
61.48,1978-03-01
47.66,1978-04-01
30.74,1978-05-01
20.11,1978-06-01
12.08,1978-07-01
8.97,1978-08-01
20.03,1978-09-01
71.54,1978-10-01
97.51999,1978-11-01
95.14,1978-12-01
92.22,1979-01-01
80.09,1979-02-01
74.59,1979-03-01
83.66001,1979-04-01
87.36,1979-05-01
96.63,1979-06-01
93.36,1979-07-01
94.7,1979-08-01
99.66001,1979-09-01
91.6,1979-10-01
89.98001,1979-11-01
99.39,1979-12-01
99.46,1980-01-01
99.37,1980-02-01
99.51999,1980-03-01
96.64,1980-04-01
89.55,1980-05-01
68.67,1980-06-01
65.02,1980-07-01
61.82,1980-08-01
76.92,1980-09-01
80.17,1980-10-01
77.48001,1980-11-01
82.34,1980-12-01
74.11,1981-01-01
69.03,1981-02-01
79.48001,1981-03-01
78.76,1981-04-01
67.55,1981-05-01
59.98,1981-06-01
44.35,1981-07-01
41.18,1981-08-01
71.53,1981-09-01
95.51999,1981-10-01
93.48001,1981-11-01
98.18,1981-12-01
70.48001,1982-01-01
77.63,1982-02-01
88.11,1982-03-01
93.15,1982-04-01
99.01,1982-05-01
93.31,1982-06-01
81.21,1982-07-01
79.63,1982-08-01
80.67,1982-09-01
85.63,1982-10-01
88.66001,1982-11-01
93.65,1982-12-01
95.49,1983-01-01
98.26999,1983-02-01
86.19,1983-03-01
79.69,1983-04-01
72.26,1983-05-01
35.06,1983-06-01
20.98,1983-07-01
29.67,1983-08-01
42.09,1983-09-01
52.96,1983-10-01
69.45,1983-11-01
76.86,1983-12-01
86.19,1984-01-01
96,1984-02-01
96.07,1984-03-01
86.85,1984-04-01
76.66001,1984-05-01
61.47,1984-06-01
46.26,1984-07-01
40.15,1984-08-01
72.59,1984-09-01
85.17,1984-10-01
91.74,1984-11-01
99.22,1984-12-01
76.55,1985-01-01
64.17,1985-02-01
69.2,1985-03-01
70.37,1985-04-01
79.55,1985-05-01
74.79,1985-06-01
70.9,1985-07-01
78.86,1985-08-01
84.28,1985-09-01
83.43,1985-10-01
85.55,1985-11-01
80.17,1985-12-01
90.82,1986-01-01
99.39,1986-02-01
99.18,1986-03-01
89.1,1986-04-01
82.18,1986-05-01
77.64,1986-06-01
55.93,1986-07-01
49.73,1986-08-01
70.12,1986-09-01
79.2,1986-10-01
87.83,1986-11-01
88.2,1986-12-01
94.83,1987-01-01
98.66001,1987-02-01
94.83999,1987-03-01
83.06,1987-04-01
61.42,1987-05-01
47.47,1987-06-01
31.81,1987-07-01
22.95,1987-08-01
17.87,1987-09-01
