AUSGDP,AUSCON,AUSINV,BELGDP,BELCON,BELINV,CYPGDP,CYPCON,CYPINV,ESTGDP,ESTCON,ESTINV,FINGDP,FINCON,FININV,FRAGDP,FRACON,FRAINV,GERGDP,GERCON,GERINV,GREGDP,GRECON,GREINV,IRLGDP,IRLCON,IRLINV,ITAGDP,ITACON,ITAINV,LATGDP,LATCON,LATINV,LITGDP,LITCON,LITINV,LUXGDP,LUXCON,LUXINV,MALGDP,MALCON,MALINV,NETGDP,NETCON,NETINV,PORGDP,PORCON,PORINV,SLKGDP,SLKCON,SLKINV,SLVGDP,SLVCON,SLVINV,SPAGDP,SPACON,SPAINV
62941.9,34035.9,15878.1,77022.9,41244.9,17102.7,3447.5,2040,705.3,2574.9,1268.4,511,39091,19246,9163,435267,228963.6,95995.4,585431.6,342251.8,127355.5,46582.7,31411.2,10182.1,30469.9,14361.6,7104.4,384816.8,230488.6,78209.2,3010.8,1836.7,556,4500.3,2828.3,759.3,7675.4,2654.7,1298.8,1322.5,814.7,246.4,137404.3,68170.2,30839.9,41602,26448.4,11023.9,10344,6210.9,2539.9,6819.8,3950,1827.3,213243,125847,54025
63401.2,34454.1,16417.7,77533.7,41519,17255.6,3506.4,2123.9,719.2,2642.9,1308,518.7,39070,19084,9396,439390.4,231024.7,97189.5,591494.9,346228.9,127205.1,47002.2,31528.2,10221.2,31317.8,14810.8,7141.9,387503.2,232610.9,78961.7,3037.8,1841.8,607.5,4543.1,2898.7,707.8,7601.5,2625.3,1262.3,1364.4,815,284.5,138938.8,68380.4,31476.4,41358.1,26177.5,10627.7,10448.8,6349.8,2504.1,6958.6,3900,1790.2,215860,126472,54644
63771.5,34436.2,16262,77844.3,41870.1,17454.2,3506.9,2090.1,709.7,2672.7,1334.6,538.9,39730,19098,9527,442224.9,232405.8,99053.7,590656.4,346482,128345.9,47858,31813.5,9934.3,32235.6,14874.9,7263.9,389627.4,233681.4,80101.4,3101.5,1859.9,625.9,4591.1,2894,743.9,7717.9,2636.8,1368.4,1337,816.4,269.9,140085.3,68938.9,31248.4,41934.3,26383.8,10874.9,10516.9,6404.4,2798.4,7033.2,3976.8,1838.8,218203,128017,55566
64441.7,34774.5,16526.1,78541.7,42251.5,17568,3523.4,2089.6,705.9,2745.2,1337.9,585.3,40198,19238,9690,445791.8,233025.3,99739,591107.9,344638.1,127418.2,48534.3,31651.5,10281.3,32597.4,15045.1,7144.2,395806.7,235437.4,79725.6,3090.8,1880.5,670.1,4669.8,2931.6,730,7780,2688,1340.5,1368.5,828.4,284.7,141906,69380.9,31773,42250.9,26535.3,10856.9,10584.8,6520.3,2785.7,7079,3966.7,1849.7,220611,127809,56280
64361.5,35094.4,16545.7,78482,42325.7,17873.8,3559.1,2248.6,709.9,2774.1,1363.4,579.2,40606,19487,9845,448226.4,235349.6,100238.2,600702.5,350540.7,127822.6,49170.8,31893.8,10517.7,32863.5,15272.6,7475.7,397164.9,235791.9,80884.4,3129.9,1910.9,720.8,4805,3019.4,822.6,7904.5,2701.9,1362.4,1348.2,820.4,251.6,142060,69500.7,31554.1,42150.3,26592,10427.1,10653.9,6629.9,2949.5,7152.6,4001.8,1833.5,222813,129607,56862
64266.4,34680.6,16083,78439.7,42264.3,17669.6,3577.2,2186.7,691.9,2820.6,1383.3,572.6,40390,19658,9625,448797.4,236800.9,100106.5,601347.5,351083,125503.3,49011.4,32428.1,10723.9,33289.4,15450.9,7648.8,396177.8,234792.7,81917.5,3329.4,1938.3,708.9,4793.8,2974.6,739.3,7746.1,2746.6,1436.6,1356.2,839,253.9,142778.4,69982.8,31857.2,42510.9,26606.3,11066.8,10770.9,6606.9,3133.2,7169.2,4060.9,1836.8,224584,131322,57676
64388.9,34610.6,15943.3,78282.6,42059.9,17863.6,3697.8,2168.5,742.7,2831.2,1403.6,626.3,40663,19763,9564,450491.9,238055.2,100628.6,599541.5,351553.1,123459.9,49801.2,33422.9,10702.2,33368.3,15435.6,7357.5,394551.8,233581.1,81507.4,3247.3,1948.3,754.4,4897.1,3008.9,798.7,7862.7,2765.9,1532.4,1375.3,848.5,241.6,143026.5,70255.5,31516.2,42567.9,26495.9,11115.3,10815.8,6722.7,2970.9,7214.6,4030.2,1910.6,226819,133131,58233
64520.1,34943.1,15781,78243.1,41885.7,17104.5,3702.8,2202.3,696.2,2895.2,1458.2,642.6,40511,19959,9406,450623.3,238584.4,100130.4,600251,349672.9,122156,49952,33267.8,10838.3,33871.8,15866.5,7503.8,394695.4,234020.2,81684.4,3345.9,1978.2,771.7,5020.1,3071,954,8038.2,2793.8,1259.8,1346.3,844.5,246.9,143487.8,70767.4,32076.6,43164.3,26852.5,11191.3,11043.3,6807.9,2949,7276.2,4071.6,1868.5,228427,133018,58510
65027.8,34853,15981.1,78957.9,42055.3,17100.8,3721.4,2215.1,787.9,2896.6,1481.6,657.5,40761,19870,9224,451868.6,239947.3,99170.1,598444.9,347259.4,119830.6,50343.4,33998.8,10523.8,34695.9,15859,7682.1,394422.9,234655.6,83999.8,3371.1,2001.6,728.3,5036.3,3177.9,913,8141.6,2860.7,1479.3,1405.5,839.2,236.8,142612.2,70716.3,31253.4,43273.6,27041.7,11107.8,11081.3,6875,2989.3,7396.7,4107.8,1845.9,229727,134558,59362
65263.2,34978.2,15791.1,79655.3,42206.6,16854.6,3776.9,2267.7,815.9,2998.8,1514.6,736.2,41365,20232,9432,454280.1,241201.7,98679.5,599928.5,346463.9,117248.2,51472.1,34299.1,10509.2,34929.2,15969.9,7775.6,396215.9,233473.5,82942.3,3487.6,2043.8,746,5185.9,3170.9,896.9,8283.2,2887.4,1308.5,1394.3,831.2,155.9,143108.9,70806.4,30780.5,43076.4,27038.1,10819.5,11194.4,7052.8,3013.6,7406.5,4115.8,1832.9,231454,135101,60192
65463.2,34955.8,15448.1,80078.8,42399.1,16598.2,3750.1,2290.8,768.4,3036.8,1563,773.9,41233,20373,9365,455881.9,242794.1,99496.6,602702,348271.8,116822,51776.6,34398,10455.8,35722.5,16233,8151.4,397202.7,234336.6,85268.6,3507.1,2078.2,741,5272.6,3222.9,894.3,8175.4,2875.2,1418.1,1400.5,826.5,188.4,143331.1,70970.5,30495.5,42812,27001.8,10312.3,11444.5,7149.4,3014,7473.2,4149.7,1872.1,232854,136237,60851
65610.7,35367,15280.1,80333.4,42543.9,16917.1,3829.6,2304.1,792.5,3083.5,1577.9,821.7,41536,20468,9283,456070.3,244189.7,99979.6,601412,350585.9,116170.1,52162.7,35214,11180.7,35986.7,16253.8,8072.1,398619.6,236106,87560.3,3629.9,2127.6,748.9,5336.2,3248.9,978.2,8161.2,2874.3,1469.7,1384.4,824.5,244.1,143545.6,71315.4,29340.5,42541.4,26863.8,10080.6,11521.3,7227.3,2985.1,7600.3,4189.2,1941.6,234603,136989,61559
65747.7,35475,16379.3,80003.5,42430.3,16835,3824.9,2356.6,769.7,3152.8,1606.4,926.1,41191,20686,9440,456611.3,244664.1,100294.6,594203.9,348732.8,116245.3,53241,35435.7,11949.1,35449.5,16479.5,7946.4,397516.1,235865.6,84950.2,3690.7,2165.3,778.1,5594.3,3456.8,964.5,8085.7,2900,1415.1,1421.1,857.4,272.1,143570.5,71087.5,29673.7,42569.3,26814.5,9847.9,11726.1,7241.6,2919.3,7600.2,4195.2,1925.9,236918,136681,63453
65847.1,35589.3,16067.3,80087.1,42356,16873.3,3831.4,2363.2,766.6,3199,1667.1,837.1,41913,20980,9443,455639.4,244304.9,100345.1,594332.9,348624.3,115806.5,54194.7,35871.9,11831.2,35738,16417.9,7868.9,396173.7,236207.9,84616.8,3768.5,2199.6,790.4,5669,3487.8,1050,8302,2914.5,1499.7,1424.4,853.2,290.8,143074.7,70937.8,29732.3,42228.9,26734.5,9887.2,11892.6,7266.8,2950.4,7616.3,4273.5,1982.3,238527,138124,64250
66132.4,35823.3,16191.1,80400.4,42455.9,16864,3886.3,2357.4,870.5,3282,1709.4,883.5,42487,21348,9736,458798.5,246560.1,101881,597235.6,348552,115894.3,54540.3,36277.7,12494.5,36269,16542.7,8501.3,396784,236950.2,84477.3,3851.1,2260.9,833.9,5823.1,3570.6,1069.8,8335.9,2976.2,1429.8,1433.5,848,262.2,143201.6,70698.7,29886,42545.7,26971.4,9807.7,11938.2,7281.3,2883.2,7698.8,4327.9,1997,240164,139555,65097
66339.1,35686.8,16264,81005,42837.3,16626.2,3931,2396.3,818.6,3280,1713.8,899,42592,21365,9729,462403.1,246695.5,102285.7,599428.6,348515.9,115681.2,55698.1,36506.8,12811.6,38089.3,16733.5,9902.4,399809.9,237131.2,85119.4,3887.7,2298.7,882.7,5921.9,3759.9,1110,8581.6,2969.3,1377.8,1446.1,906.2,277,143968.3,70831.3,30428.5,42755.4,27129.3,9681.6,12136.1,7345.6,2863.9,7765.5,4334.2,2018.3,242630,141461,66035
67108.3,36159.5,16263.8,82253.7,43071.1,17705,3989.9,2478.4,813,3437.4,1772.2,877.1,42931,21744,9884,466398.9,248163,103365.2,599283.5,350359.9,115580.9,56725.4,37032.5,12921.1,38036,16827.4,8790.8,401660.7,238107.7,86271.1,3975.3,2389.7,934.8,5988.8,3806.2,1162.2,8515.5,2962.7,1621.2,1432.5,868.5,261.1,145271.6,71636.7,30278.2,43143.7,27450.9,9864.8,12289.1,7478.3,2898.8,7825.8,4337.3,2085.9,244104,142317,66532
67471.2,36358.8,16238.8,83064.1,43128.8,18247.8,4033.2,2492.2,854.9,3331,1780.4,963.2,43384,21750,10019,469440.2,249404,104079.2,601412,349456,114440.1,56731.1,37159.7,12841.9,38696.9,17016.4,9474.7,402999.4,238479.3,86343,4071,2427.5,1023.2,6092.2,3908,1221.7,8550.8,2948.4,1637.7,1412.6,873.6,281.4,145964.2,71304.6,29826.1,43406.6,27574.4,9768.2,12380.4,7563.5,2906,7918.5,4390.8,2057.3,245998,144016,67468
67911.8,36402.2,16409.1,83793.6,43160.9,18800.7,4089.5,2570.9,849.3,3484.7,1801.6,958.4,43771,21784,10008,471073.9,249673.8,104501.1,600251,348949.7,115054.3,57496.7,37087.9,12945.3,38830,17195.3,9374.8,403484.1,238950.2,85829.5,4104,2470.5,1063.4,6122.5,4012.9,1257,8664.4,2964.8,1424.7,1426.3,883.9,275.6,146182.3,71271.8,29603.7,43354.2,27627.6,9734.6,12666.2,7702.2,3173.1,8023,4462,2125.9,248476,145269,68623
68062,36676.8,16535.6,84068.3,43366.3,18412.8,4138.8,2613.4,895.2,3487.9,1865.8,930.2,44700,22152,10225,474543.2,252957.6,105663.7,600831.5,351263.8,114201.9,57290.7,37983.9,11811.4,39643.9,17309.8,9757.4,404011.1,240345.3,86563.9,4218.1,2530.3,1119.2,6288.3,4058.6,1219.1,8787.9,2989.1,1376.5,1480.7,902,289.6,146501,71305,30074.1,43276.4,27752.2,9913.4,12865.5,7849.1,3186.2,8052.1,4462.7,2085.4,250005,146626,69491
68252.4,36806.2,16041.7,84386.2,43401.1,19127.1,4196.8,2609.2,878.5,3604.8,1881.4,965.5,44616,22169,10125,475715.1,254358.9,106328,599735,351634.4,113004.6,56914.3,38026.4,11593.2,40081.3,17599,9934.9,403041.6,239317.2,86873.3,4330,2576.8,1198.7,6412.4,4161.5,1280,8740.9,2928,1473.6,1456.4,895.1,285.3,146974,71424.7,30327,43605.6,27964.9,9871.6,13031.7,7917.9,3329.4,8154.6,4485.3,2069.6,252534,147999,70989
69160,37139.8,16647.6,84811.6,43515.7,19880.5,4218.8,2626.4,862.4,3699.6,1942.7,1062.9,44786,22566,10318,476598.1,255275.2,107095.5,603734,351525.9,114935.2,57070.9,38284.9,11217.9,40944.3,18257.1,11008.5,407013.1,241410.8,87631.4,4423,2637.7,1238.5,6503.3,4387.1,1289.9,8848.5,2931.6,1399.6,1498.9,906.8,345.2,148007.9,71687.5,30953.1,43786.6,28231.2,9888.2,13306.7,8055,3581.1,8277.5,4538.4,2162.9,255108,149863,72893
69528.8,37496.8,16404.1,85143.3,43821.9,19451.6,4286.1,2646.7,913.4,3813.2,1996.7,1152.3,45028,22677,10410,478965.1,256603.5,108060.5,608507.2,352176.8,116565,57855.7,38960.5,10567.5,40971,18711.1,11614.9,409703,243409.3,88555.8,4629.7,2741.1,1285,6690.6,4455.5,1408.5,9014.3,2986.3,1492.6,1502.1,913.2,309.9,149995.6,72380.3,31491.3,43513.3,27850.3,9773.3,13528.1,8172.9,3613.6,8346.9,4465.1,2158.3,257527,150810,73908
70179.3,37673.8,16486.3,85831.5,44143.7,19142,4338.3,2669.6,979.4,3879.3,2075.6,1106.4,45216,22842,10587,482413.2,258377.5,108633.2,610893.7,352538.4,119323,58129.8,38804.6,11130.9,42025,18858.6,11766.9,410701.1,243827.4,88896.9,4779.2,2849.5,1346.3,6844.4,4641.1,1451.7,9016.8,3010.4,1632.3,1514.4,914.9,345.7,150941.4,72589.8,30875.1,43603.3,28109.6,9784.7,13723.8,8236,3647.3,8485,4560.1,2245,260220,152688,74687
70861.2,37693.7,16195.8,86356.2,44248.2,19665.1,4377.3,2717.5,1054.8,4012.7,2123.5,1249.5,46467,23231,10557,486322,260564.4,109305.2,616634.4,355177.7,118667.9,60057.7,39090.6,12973.2,42472.5,19049.9,11741.8,412287.6,244572.5,89949.6,4813.9,2938.9,1379.5,6867,4500.8,1478.1,9259.1,3041.7,1528.2,1501.2,913.6,374.8,151883.1,71371,31558.8,43952.9,28328.9,9854.3,14048.9,8395.8,3769.3,8558.7,4563.2,2235.7,263038,154011,76409
71360,38042,16441.5,86642.8,44301.4,19585.9,4451.7,2742.7,1112.8,4067.8,2198.8,1227,46398,23407,10326,491264.6,262040.6,111533,626503.1,356407.1,125688.2,60212.4,39648.9,12783.9,42648.3,19549.1,11517.9,414754.9,244443,90042.9,5012.7,3100.4,1418.8,7031.6,4720.4,1563.7,9252.3,3050.2,1552.6,1515.6,935,311.8,154156.9,72038.4,32710.3,44362.8,28355.7,9997.1,14371,8483.6,3792.1,8735.7,4559.5,2304.2,265785,155521,78193
72158.1,38309.4,16802,87377,44348.2,19920.6,4468.7,2732,1107.3,4209.8,2280.9,1401.7,46788,23559,10576,491226,261802.5,112154.4,632759.7,356515.6,126578.3,60495.1,39621.8,13272.3,43550.6,19682,11871.7,416199.2,245720.7,90227.5,5155.6,3204,1505.7,7153.9,5004,1644.2,9357.3,3025.8,1473.2,1521.7,945.3,319.8,155079,72176.7,33523.4,44288.5,28495.8,9533.7,14644.4,8616.9,3883.9,8885,4536.7,2418.2,268409,156403,79033
73036.5,38454.7,16932.9,88325.2,44558.1,19949.5,4545.4,2772.8,1117.2,4275.2,2311.6,1392,47277,23733,10524,494887.6,264008.6,114006.1,641015.9,362553.9,130564.8,62034.7,40008.8,14006.1,43634,20051.3,12297.7,421459.1,247005.3,93562.2,5376.1,3639,1567.9,7366.6,5024.8,1807.4,9595.2,3068.2,1639.6,1544,940.4,313.3,156357.6,72150.8,34620.2,44614.7,28664.8,9599.9,15055.9,8823.7,4012.3,9080.3,4611.9,2562,270958,158262,80355
73609.7,38449.5,17473.1,89445.2,44848.7,20600.4,4608.3,2924.7,1131.9,4424.5,2408.7,1508.7,48396,24256,11179,498807.1,265568.4,115940,643660.5,355024.1,130242,61576.2,40503.9,13394.7,45723.3,20656.8,12214.8,422119.1,248002.1,93217.6,5474.1,3608.9,1709,7588.7,5202.4,1879.9,9956.3,3083.5,1752,1585.6,937.5,347.4,158149,72656,35380.9,45112.7,28865.5,10008.6,15373.9,8964.2,4023.9,9236.1,4751.1,2553.5,273730,159228,80848
74438.4,38600.9,17254.1,89801.7,45063.2,20899.7,4656.8,2973.6,1169.2,4440.1,2419.1,1503.5,48884,24102,11672,502572,268080.9,117431.9,648369.1,358061.3,129376.9,63346,40972,16553.5,45252,20796.7,12081.8,421755.5,248884.8,91962.7,5581.9,3584.8,1784.8,7805.1,5365,2007.1,10187.4,3107,1855.7,1563.7,934.5,341.2,158958.1,72905.8,35019.3,45288.5,29125,9824.6,15760.1,9160.8,4149.1,9362.7,4812.9,2659.5,275950,160674,82290
74639.8,38426.7,17414,90500,45288.8,21303.5,4698.5,2976.9,1204,4428.1,2424.3,1431.8,49229,24447,11514,504347.7,270383.2,118873.2,653851.7,358712.1,130079,62940.5,41192.1,17237.1,44234,20924.5,11802.1,421711,248301,92012.8,5717.4,3575.7,1816.8,8013.9,5387.7,2009,10217.3,3115.6,1794.4,1584.2,947.9,336.8,160734.5,73460.2,35687.3,45366.7,29129.6,10033.7,16136.9,9317.7,4320.6,9553.3,4928.3,2735.9,278188,161362,81923
75228.9,38652.8,17393.4,90964.9,45522.5,21659.7,4789.4,3158.8,1217.5,4466.9,2447.6,1402.5,50114,24413,11806,505400.8,271316.7,119404.9,655722.3,359182.1,133451.3,62654.1,42076.8,14244.6,46160.5,21124.3,10882,421200.3,248232.8,91489.6,5687.7,3521.1,1800.4,8158.3,5684.6,2047.2,10226.7,3160.6,1564.6,1589.8,943.5,368.5,162909.3,74100.5,45866.2,45867.4,29598.3,10327.5,17125.9,9455.1,4335.4,9594.6,4916.6,2723.8,280582,163305,82652
76144.4,38987.2,17912.1,91473.9,45976.3,21814.5,4845,3249.5,1413,4293.7,2378.2,1414.7,49864,25178,11890,507682.7,270191.1,121040.9,661462.9,359326.8,134184.6,63023.8,42576.5,14946.5,44533.1,21109.8,12116.1,425552,247804,92267,5643.5,3485,1746.7,8117.8,5712.7,2028.7,10199,3121,1864.2,1613.1,948.5,361.5,163442.9,73651.9,36002.2,45881.2,29689.8,10345.6,16699.9,9625.1,4190.9,9732.9,4936.4,2947.4,281862,163757,81590
75762.8,38716.8,18006.9,91623.7,46124.9,21839.7,4866.9,3253.2,1274.1,4396.7,2367.3,1319.7,49813,24970,11640,505429.7,270353.4,119908.9,659592.3,359037.5,131589.6,62617.6,42685,14384.6,43699.1,20888.4,10081.5,421528.7,246546.6,91300.1,5530.5,3413.2,1683.1,8187.7,5690.9,2012,10115.5,3190.6,1841.1,1640.7,945.7,328.1,164248,74127.5,36971.5,45646.5,29569,10330.2,16898.6,9714.8,4464.8,9841,5005.6,3001,282019,161394,81086
75201.5,38699,17466.9,91167,46054.3,21378.1,4873.1,3328.6,1237.6,4287,2297,1240.6,49642,24657,11725,503799.9,270183.4,118743.4,657270.3,359616,131940.7,62559.9,42556.5,13419.4,43395.4,20826.8,10183.3,415752.6,244668.8,88679.8,5320.1,3303.6,1546.7,8098.8,5577.5,1886.1,10027.6,3169.4,2108.9,1656.9,927.7,286.4,164047.3,74054.4,37111.7,45540.7,29600.8,9895.9,17123.1,9831.6,4269.7,9808,4973.7,2925.8,279888,158133,77832
73941.8,38806.4,17238.3,89265.1,45620.6,21029.4,4852,3191.1,1195.8,3892.9,2192.1,1126.7,48721,24474,11043,496689.4,269427.5,115082.8,644499,359362.9,130097.9,61670.9,42498.7,14337.3,41753.2,20660.2,8918.4,406228.2,243661.2,84791.7,5171.9,2985.2,1466.4,8002.5,5452.4,1722.3,9715.9,3153.3,1982.7,1622.6,934.7,290.4,162964.7,73950.3,37551.7,44928.7,29463.6,9771,17300.7,9954.1,4171.3,9435.3,4960,2561.5,277069,157071,74336
72829.3,38649.3,16548.2,88225,45524.4,20381.3,4770.7,3094.4,1303.2,3707.3,2090.1,940.7,45365,24116,10613,488484.2,269221,110386.6,615586.3,361893.9,118539.4,58735.4,40209.6,12503.3,41432.8,20128.2,9104.2,395107.6,241267,81728.9,4997.1,2888.2,1325.4,6953.5,4815,1342.5,9568.7,3182.3,1783.2,1574,940.7,264.4,157108.3,72786.9,34071.1,43894.9,28853.1,9279.9,15724.3,9667.7,3889.6,9011.4,4975.4,2342.4,272638,155906,69312
